"especie","registros_gbif","numdeptos","maxdistancia"
"Reinhardtia simplex",3,1,0
"Aiphanes leiostachys",4,1,0.611977585969238
"Aiphanes graminifolia",19,1,1.73954687214698
"Reinhardtia gracilis",6,1,21.7517108081804
"Reinhardtia koschnyana",21,2,266.087808244509
"Ceroxylon sasaimae",147,5,290.265407307481
