"departamento","num_especies_peligro_crit"
"SANTANDER",6
"ANTIOQUIA",5
"BOLÍVAR",4
"NORTE DE SANTANDER",3
"CHOCÓ",3
"CÓRDOBA",2
"META",2
"CALDAS",2
"SUCRE",2
"CUNDINAMARCA",2
"VAUPÉS",1
"ARAUCA",1
"BOYACÁ",1
"CASANARE",1
"CAUCA",1
"NARIÑO",1
"PUTUMAYO",1
"RISARALDA",1
"VALLE DEL CAUCA",1
"AMAZONAS",1
